,Ligand A,Ligand B,LOMAP Score,Ligand A IC50 (nM),Ligand A IC50 SD (nM),Ligand B IC50 (nM),Ligand B IC50 SD (nM),Ligand A dG (kcal/mol),Ligand A dG SD (kcal/mol),Ligand B dG (kcal/mol),Ligand B SD dG (kcal/mol),ddG (kcal/mol),ddG SD (kcal/mol),R Group
0,ligand_27,ligand_30,0.8913661439068313,4330.0,2560.0,58.0,17.0,-7.313636254045516,0.8048540090640666,-9.867723677794075,0.3576390829339111,-2.554087423748559,0.880735879562261,R4
1,ligand_5,ligand_6,0.8187307530779818,185.0,38.0,600.0,155.0,-9.18082330902828,0.2467929451683144,-8.484056286820662,0.3130626612064269,0.6967670222076183,0.3986414273836836,R1
2,ligand_1,ligand_29,0.9048374180359595,290.0,61.0,12.0,3.0,-8.9146145460506,0.2529074310316659,-10.800756310635212,0.3025109343942223,-1.886141764584611,0.39430322608254464,R4-R1
3,ligand_34,ligand_1,0.8187307530779818,14.0,4.0,290.0,61.0,-10.709468278041507,0.3480872629550351,-8.9146145460506,0.2529074310316659,1.7948537319909068,0.4302637694514431,R1-R4
4,ligand_1,ligand_30,0.8187307530779818,290.0,61.0,58.0,17.0,-8.9146145460506,0.2529074310316659,-9.867723677794075,0.3576390829339111,-0.9531091317434743,0.43802726206578263,R4-R1
5,ligand_1,ligand_28,0.9048374180359595,290.0,61.0,44.0,4.0,-8.9146145460506,0.2529074310316659,-10.03132092743327,0.10797082593338025,-1.11670638138267,0.2749906687940032,R4-R1
6,ligand_1,ligand_2,0.5488116360940264,290.0,61.0,1710.0,308.0,-8.9146145460506,0.2529074310316659,-7.8638339784077145,0.21568346435152286,1.050780567642886,0.33238761328562094,R1
7,ligand_17,ligand_14,0.8913661439068313,603.0,132.0,566.0,130.0,-8.481102664737824,0.26353634635731815,-8.518602615527739,0.2769763323387462,-0.03749995078991475,0.3823183157098126,R1
8,ligand_1,ligand_16,0.9048374180359595,290.0,61.0,245.0,53.0,-8.9146145460506,0.2529074310316659,-9.014472916355077,0.26033000339364953,-0.0998583703044762,0.36295162120863217,R1
9,ligand_20,ligand_23,0.7408182206817179,4500.0,190.0,123.0,18.0,-7.290830718055534,0.05003774851444742,-9.422542453388118,0.17458028771866552,-2.1317117353325843,0.18160961741143314,R3
10,ligand_36,ligand_2,0.49658530379140947,8.7,3.0,1710.0,308.0,-10.991198132843492,0.42586444337561247,-7.8638339784077145,0.21568346435152286,3.127364154435777,0.4773676580229277,R1-R4
11,ligand_1,ligand_31,0.8187307530779818,290.0,61.0,43.0,12.0,-8.9146145460506,0.2529074310316659,-10.044935320125935,0.33953548979856407,-1.1303207740753347,0.4233751498420611,R4-R1
12,ligand_2,ligand_4,0.8187307530779818,1710.0,308.0,550.0,185.0,-7.8638339784077145,0.21568346435152286,-8.535584424273921,0.41452409684228897,-0.6717504458662065,0.4672789142017752,R1
13,ligand_16,ligand_13,0.8913661439068313,245.0,53.0,226.0,19.0,-9.014472916355077,0.26033000339364953,-9.062277202070616,0.09980904291283643,-0.04780428571553941,0.27880738102516944,R1
14,ligand_2,ligand_11,0.49658530379140947,1710.0,308.0,879.0,74.0,-7.8638339784077145,0.21568346435152286,-8.257921612230502,0.09994714925674586,-0.3940876338227879,0.23771577448546585,R1
15,ligand_21,ligand_22,0.27253179303401254,704.0,97.0,6260.0,428.0,-8.389393886122871,0.1642361027884469,-7.095343846803112,0.08110468057323317,1.2940500393197594,0.18317059444688027,R3
16,ligand_28,ligand_31,0.8913661439068313,44.0,4.0,43.0,12.0,-10.03132092743327,0.10797082593338025,-10.044935320125935,0.33953548979856407,-0.013614392692664623,0.3562892758496768,R4
17,ligand_1,ligand_18,0.9048374180359595,290.0,61.0,99.0,28.0,-8.9146145460506,0.2529074310316659,-9.55108805338996,0.3443685694169112,-0.6364735073393586,0.4272609042181216,R2-R1
18,ligand_2,ligand_10,0.5488116360940264,1710.0,308.0,210.0,60.0,-7.8638339784077145,0.21568346435152286,-9.10576094894878,0.34808726295503334,-1.2419269705410647,0.4094924900730185,R1
19,ligand_20,ligand_22,0.5488116360940264,4500.0,190.0,6260.0,428.0,-7.290830718055534,0.05003774851444742,-7.095343846803112,0.08110468057323317,0.19548687125242203,0.0952981924659711,R3
20,ligand_1,ligand_17,0.9048374180359595,290.0,61.0,603.0,132.0,-8.9146145460506,0.2529074310316659,-8.481102664737824,0.26353634635731815,0.43351188131277674,0.3652582299174123,R1
21,ligand_29,ligand_33,0.951229424500714,12.0,3.0,44.0,9.0,-10.800756310635212,0.3025109343942223,-10.03132092743327,0.24572974919153623,0.7694353832019409,0.3897383417958782,R4
